Cuenca o Litoral.x;Estrato menor;Estrato;No del sitio de desembarco;Sitio desembarco.x;Tipo de unidad.x;Mes;Epoca;Sitio_TU_Mes;Sitio_TU_Epoca;Cuenca o Litoral;Sitio desembarco.y;Tipo de unidad.y;Cuartil_inf;Cuartil_sup
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;7;Meses Epoca Alta;Cartagena del Chairá_IM_7;Cartagena del Chairá_IM_Meses Epoca Alta;Amazonía;Cartagena del Chairá;IM;5,95;85,06
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;8;Meses Epoca Alta;Cartagena del Chairá_IM_8;Cartagena del Chairá_IM_Meses Epoca Alta;Amazonía;Cartagena del Chairá;IM;5,95;85,06
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;9;Meses Epoca Media;Cartagena del Chairá_IM_9;Cartagena del Chairá_IM_Meses Epoca Media;Amazonía;Cartagena del Chairá;IM;6,52;65,65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;10;Meses Epoca Media;Cartagena del Chairá_IM_10;Cartagena del Chairá_IM_Meses Epoca Media;Amazonía;Cartagena del Chairá;IM;6,52;65,65
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;11;Meses Epoca Baja;Cartagena del Chairá_IM_11;Cartagena del Chairá_IM_Meses Epoca Baja;Amazonía;Cartagena del Chairá;IM;7;47,14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;IM;12;Meses Epoca Baja;Cartagena del Chairá_IM_12;Cartagena del Chairá_IM_Meses Epoca Baja;Amazonía;Cartagena del Chairá;IM;7;47,14
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;1;Meses Epoca Media;Cartagena del Chairá_MA_1;Cartagena del Chairá_MA_Meses Epoca Media;Amazonía;Cartagena del Chairá;MA;5,87;134,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;2;Meses Epoca Alta;Cartagena del Chairá_MA_2;Cartagena del Chairá_MA_Meses Epoca Alta;Amazonía;Cartagena del Chairá;MA;8,04;133,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;3;Meses Epoca Alta;Cartagena del Chairá_MA_3;Cartagena del Chairá_MA_Meses Epoca Alta;Amazonía;Cartagena del Chairá;MA;8,04;133,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;4;Meses Epoca Media;Cartagena del Chairá_MA_4;Cartagena del Chairá_MA_Meses Epoca Media;Amazonía;Cartagena del Chairá;MA;5,87;134,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;5;Meses Epoca Baja;Cartagena del Chairá_MA_5;Cartagena del Chairá_MA_Meses Epoca Baja;Amazonía;Cartagena del Chairá;MA;5,18;74,46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;6;Meses Epoca Baja;Cartagena del Chairá_MA_6;Cartagena del Chairá_MA_Meses Epoca Baja;Amazonía;Cartagena del Chairá;MA;5,18;74,46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;7;Meses Epoca Baja;Cartagena del Chairá_MA_7;Cartagena del Chairá_MA_Meses Epoca Baja;Amazonía;Cartagena del Chairá;MA;5,18;74,46
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;8;Meses Epoca Alta;Cartagena del Chairá_MA_8;Cartagena del Chairá_MA_Meses Epoca Alta;Amazonía;Cartagena del Chairá;MA;8,04;133,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;9;Meses Epoca Alta;Cartagena del Chairá_MA_9;Cartagena del Chairá_MA_Meses Epoca Alta;Amazonía;Cartagena del Chairá;MA;8,04;133,96
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;10;Meses Epoca Media;Cartagena del Chairá_MA_10;Cartagena del Chairá_MA_Meses Epoca Media;Amazonía;Cartagena del Chairá;MA;5,87;134,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;11;Meses Epoca Media;Cartagena del Chairá_MA_11;Cartagena del Chairá_MA_Meses Epoca Media;Amazonía;Cartagena del Chairá;MA;5,87;134,23
Amazonía;Río Caquetá;Piedemonte - Río Caquetá;6;Cartagena del Chairá;MA;12;Meses Epoca Alta;Cartagena del Chairá_MA_12;Cartagena del Chairá_MA_Meses Epoca Alta;Amazonía;Cartagena del Chairá;MA;8,04;133,96
